from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_distance_per_lane,speed,queue_length_percentage,number_of_queued_vehicles,cumulative_arrival_count,cumulative_departure_count,total_energy,total_CO2,total_NOX,total_CO,total_HC,total_PM,total_PM2.5
1,3,1->3,1,520,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5851,5791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,521,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5911,5851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,522,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5971,5911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,523,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6031,5971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,524,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6091,6031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,525,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6151,6091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,526,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6211,6151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,527,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6271,6211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,528,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6331,6271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,529,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6391,6331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,530,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6451,6391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,531,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6511,6451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,532,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6571,6511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,533,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6631,6571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,534,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6691,6631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,535,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6751,6691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,536,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6811,6751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,537,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6871,6811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,538,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6931,6871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,539,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,6991,6931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,540,  1.00,  0.00, 23.00, 60.00,460.00,1380.00, 20.00,60.00,0.00,0,7051,6991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,541,  1.00,  0.00,  0.00, 23.00,  0.00,  0.00,  7.67,60.00,0.00,0,7074,7051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,542,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7074,7074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,543,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7074,7074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,544,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7074,7074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,545,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7074,7074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,546,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7074,7074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,547,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7074,7074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
