from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_distance_per_lane,speed,queue_length_percentage,number_of_queued_vehicles,cumulative_arrival_count,cumulative_departure_count,total_energy,total_CO2,total_NOX,total_CO,total_HC,total_PM,total_PM2.5
1,3,1->3,1,490,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4206,4141,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,491,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4266,4201,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,492,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4326,4261,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,493,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4386,4321,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,494,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4446,4381,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,495,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4506,4441,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,496,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4566,4501,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,497,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4626,4561,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,498,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4686,4621,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,499,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4746,4681,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,500,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4806,4741,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,501,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4866,4801,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,502,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4926,4861,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,503,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4986,4921,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,504,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5046,4981,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,505,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5106,5041,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,506,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5166,5101,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,507,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5226,5161,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,508,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5286,5221,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,509,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5346,5281,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,510,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5406,5341,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,511,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5466,5401,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,512,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5526,5461,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,513,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5586,5521,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,514,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5646,5581,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,515,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5706,5641,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,516,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,5766,5701,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,517,  1.00,  0.00, 60.00, 61.00,1200.00,3600.00, 21.67,60.00,0.00,0,5826,5761,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,518,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,5886,5822,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,519,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,5946,5882,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,520,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6006,5942,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,521,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6066,6002,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,522,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6126,6062,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,523,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6186,6122,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,524,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6246,6182,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,525,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6306,6242,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,526,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6366,6302,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,527,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6426,6362,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,528,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6486,6422,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,529,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6546,6482,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,530,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6606,6542,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,531,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6666,6602,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,532,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6726,6662,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,533,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6786,6722,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,534,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6846,6782,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,535,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6906,6842,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,536,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,6966,6902,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,537,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,7026,6962,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,538,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.33,60.00,0.00,0,7086,7022,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,539,  1.00,  0.00, 54.00, 60.00,1080.00,3240.00, 21.33,60.00,0.00,0,7146,7082,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,540,  1.00,  0.00,  0.00, 58.00,  0.00,  0.00, 19.33,60.00,0.00,0,7200,7142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,541,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7200,7200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,542,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7200,7200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,543,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7200,7200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,544,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7200,7200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,545,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7200,7200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,546,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7200,7200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,547,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7200,7200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,548,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7200,7200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,549,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7200,7200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,550,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,60.00,0.00,0,7200,7200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
